country_code,location_code,Gender_Equality_in_STEM,Women_Voter_Turnout,Air_Pollution_Index,Water_Quality_Index,Adult_Education_Level,Public_Education_Expenditure,Student_Performance_Score,Access_to_Basic_Housing,High_Housing_Cost_Burden,Average_Number_of_Rooms,Life_Expectancy,Self_Reported_Health,Household_Disposable_Income,Net_Financial_Wealth,Employment_Rate,Job_Market_Insecurity,Long_Term_Unemployment_Rate,Average_Earnings,PS_FSAFEN,PS_REPH,SC_SNTWS,SW_LIFS,WL_EWLH,WL_TNOW,composite_score,CG_SENG_rank,CG_VOTO_rank,EQ_AIRP_rank,EQ_WATER_rank,ES_EDUA_rank,ES_EDUEX_rank,ES_STCS_rank,HO_BASE_rank,HO_HISH_rank,HO_NUMR_rank,HS_LEB_rank,HS_SFRH_rank,IW_HADI_rank,IW_HNFW_rank,JE_EMPL_rank,JE_LMIS_rank,JE_LTUR_rank,JE_PEARN_rank,PS_FSAFEN_rank,PS_REPH_rank,SC_SNTWS_rank,SW_LIFS_rank,WL_EWLH_rank,WL_TNOW_rank,2014_treatment,2014_mh_impact_score,2014_age,2014_gender,2016_has_benefits,2016_age,2016_what_is_your_gender,avg_age,benefit_coverage_change
LITHUANIA,LTU,0.4879354795465526,-1.0326282859108462,-0.48416310671426005,-0.03513951730582134,1.0517502398043366,0.40972070728398713,-0.09571187740544361,0.9858603090435907,-0.7118919874547393,-0.3343644367605787,-1.0331094356747978,-1.7125801850491196,-0.10247346791160745,-0.5488655555530639,0.48049424994097795,0.37895372130578786,0.09082572693530795,-0.8189563628657452,-0.6992576167874797,-0.12558452672561546,-0.3399237568533362,-0.2858713855423925,-0.915778057098648,-0.26288692635599026,-0.16989729052093372,-0.44559472502989045,1.15675822654982,0.38724894377253727,0.08243856200137391,-1.5699553004135338,-0.6370899554019225,0.6356324058976746,-1.3515421867750665,0.6853215213995985,0.4999459672597854,1.2052636691605527,1.5054627792250723,0.148542261997179,0.6190834690233019,-0.4689256506183301,-0.31386249986540254,-1.045721170261586,0.7650472372281532,0.967583299020607,-0.9289869112004492,0.7058081336571582,0.5192675658560484,1.399858560157789,0.10132774075931021,-0.5684147974536413,0.05204665432309475,-0.8241380445197996,,-0.8860693667933252,-1.1961225544547653,M,-0.7683669850691434,0.3656123590765385
LUXEMBOURG,LUX,-0.7815603698931508,1.7464451204433928,-0.5642846610168563,0.1756975865291097,-0.27147023164195727,-1.771609255439199,-0.19042153619931212,-0.5889097284383266,0.23533619419991456,0.849060255144839,0.644979923929567,0.29185450098907884,1.8488245642318941,3.89018231877515,-0.09282275282950721,-0.8387152627272434,-0.16278184301148002,1.7601974380034522,1.0364882404864064,-0.5023381069024618,0.04079085082239905,1.126669578314134,-0.6535987294667704,-0.6726499492185702,3.3401976413870305,0.9690808114429591,-1.5979959005945965,0.6361946933405969,-0.16487712400274782,0.8826384010448037,1.798070784205859,0.8065815694902189,1.1803666895513525,-0.40542178423849956,-1.0597204065300259,-0.6756486158299061,-0.08336438842614392,-1.7045592243042642,-1.9698110378014153,0.4189581632573604,1.5846644694291234,-0.6008836704203981,-1.6373440871518419,-1.3173122022810673,1.649258701382295,0.39128355420250943,-1.2090116533327615,0.7812837855790465,0.7662910394922859,-0.1262240698349287,0.4033864112017244,-0.5061657050111875,,0.08111047388353915,-0.08414197392785407,,-0.36061482897614744,0.2140619182023333
MEXICO,MEX,1.9387878789062143,-0.5273422120282573,1.0862193576166266,-0.8784879326455455,-2.3886229859560273,-1.771609255439199,-2.116184598341305,2.8836600978038494,-0.958994991364648,-1.2811041902849127,-1.3793818432122096,-0.17070734963512083,-1.276409975759024,-0.7215822268945763,-1.0101299572622835,-0.3723739496933165,-0.6699969829050559,-1.9993986085944695,-2.0878543026065888,3.854898950794979,-2.624211402907748,-0.8508877710850037,2.871256675361805,-0.22563574245939458,-1.1258118285477183,-1.6834358194436339,0.8228486353807998,-1.189407470158507,1.2365784300206086,1.6437881704629085,1.798070784205859,1.4049036420641239,-1.63286539525578,1.1397978987488058,1.279779154154691,1.5323788491588934,0.622781019418841,1.3530582280931172,0.919245150973994,1.0646918460760444,0.08017139942214052,1.712271328753779,1.6659439838706513,1.5388071743460257,-1.7024605949752725,1.728013016884767,1.0953606389189852,-1.693015312735924,0.03483141088601288,0.20541897587910593,-0.8883038714402972,0.8936038330430229,Male,-0.8860693667933252,1.360928099706964,Male,1.1876455523507123,-0.6952407270428982
NETHERLANDS,NLD,0.8506485793864682,0.8200873183253131,-0.21174982208543291,0.8082088980339028,0.19165693336424555,1.1368306948583824,0.5988256204162588,-0.5889097284383266,-0.21768597963491887,0.849060255144839,0.5117982287228713,0.5231354263011786,0.7755393792764108,-0.15964928030480252,1.16847465326556,-0.7609917105549223,-0.416389412958268,1.2278960954394307,0.7587689033225846,-0.4368157451325755,0.6118627623360019,1.2679236746997862,-1.0177366845110447,0.988752852569692,0.1652260708831009,-0.976098051207209,-0.9301767182565562,-0.11064255536358196,-0.906824182015113,0.29063302483072223,-1.158910113889304,-0.7319609028426797,1.1803666895513525,0.3217404195202324,-1.0597204065300259,-0.5938698208303209,-0.7895097962711289,-1.0559737040987591,0.05628031536575472,-1.5182428851986915,1.1548093065699854,0.6446613291349279,-1.4371448101201756,-0.909295148477197,0.6179604563491974,-0.6309213290250992,-1.4559086846454488,1.6649620349772503,-1.0291098670867482,0.20541897587910593,-0.24532915296960192,0.36134578647426085,Male,0.8337947853780344,0.20892350811847726,Male,0.3323810342318901,0.228728089899837
NEW ZEALAND,NZL,0.6692920294665103,1.0727303552666076,-1.2052570954376263,0.1756975865291097,0.19165693336424555,0.40972070728398713,0.6303955066808816,-0.028094188024538357,2.006241055554267,1.795800008669173,0.4851618896815299,1.371165485778878,1.2184929135720644,1.3932569952924636,1.0538112527114631,-0.24283469607278124,-0.5748941441750105,0.20064390303613353,-0.4215382796236579,-0.3221516120352744,0.8022200661738695,0.9854154819284806,0.9777393091315785,-0.30758834703191057,1.3514706283486497,-0.7992636091481028,-1.1806089116333214,1.4660138585674622,-0.16487712400274782,0.29063302483072223,-0.6370899554019225,-0.9883846482314961,0.11759012417976927,-1.6779556408162806,-1.4929610659160846,-0.5120910258307357,-1.495655204116114,-1.426594001359048,-1.5195685148753775,-1.3568094644940205,-0.3496837634369974,1.5343363288173038,-0.03574987089851188,0.8043764774990589,-0.5852208295227499,-1.1027081982070726,-1.1267126428951992,-1.1628083630970016,0.36731306025250055,1.2210758033783369,-0.07453899337582343,0.9298941543999835,Male,0.38335417409505923,2.3020647988081553,Male,1.6275519864692323,-1.2067234649933412
NORWAY,NOR,0.12522237970663777,0.735872972678215,-1.0930869194139916,1.5461387614561615,0.25781795693656023,0.40972070728398713,0.4409761890931446,-0.6023693014082574,-1.0001788253496335,1.0857451935259228,0.7248889410535837,0.5231354263011786,1.2316499492442126,-0.04410654619076411,0.8244844516032691,-0.6832681583826011,-0.416389412958268,0.9969745907233565,1.453067246232139,-0.4368157451325755,0.9925773700117372,0.9854154819284806,-0.8575159842915642,1.480468480004784,0.2530008789795076,-0.26876028297078425,-0.8466993204643012,1.2170681089994027,-1.648771240027478,0.03691643502468734,-0.6370899554019225,-0.2191134120650468,1.5554643008589701,1.2306931742186473,-1.319664802161661,-1.0845425908278319,-0.7895097962711289,-1.51924907567412,-0.16884094609726416,-1.0339426230846787,0.832417934425632,0.6446613291349279,-1.2369455330885093,-1.6437258453241637,0.6179604563491974,-1.4172327776617213,-1.1267126428951992,1.2231229102781485,-1.6275768359464262,-0.9553316841200149,-0.8883038714402972,0.6032812621873342,Male,1.6527777149834437,-1.0363068885696574,Male,-0.061374501664376704,2.0326672086927964
OECD - TOTAL,OECD,-0.056134170213320025,-0.022056138145668334,0.07668777340391371,0.07027903461164418,0.05933488621961617,0.40972070728398713,0.1568472127115391,-0.19858211231032993,0.15296852622994497,0.13900544000158824,0.19216216022680094,-0.016520066093720948,0.2828083933544635,0.2810317250885903,-0.20748615338360424,-0.08738759172813902,-0.289585627984874,0.4958112857047113,0.13390039470398563,-0.10920393628314386,0.04079085082239905,0.1378909036145652,0.4242496174642814,0.13942585972726504,0.42236984340995004,0.08490860114742814,-0.17888013812626077,-0.4425702214543281,0.0,0.6289218112387688,-0.6370899554019225,0.293734078712586,-0.6013469641598314,-0.13273595782897504,-0.10659095588069675,0.3874757191647011,0.18144013951572543,-0.31473310957818185,-0.8442047304863208,0.6611082943143669,-0.6720751355813509,-0.33398117051568543,-0.5362480634776775,0.23315260217364028,-1.014928431619874,0.39128355420250943,-0.056825507206888254,-0.7209692383978998,-0.43064289822707014,-0.6236886384059804,0.5411667080168739,-0.7377325174794165,,-0.342030706412589,0.0010930478775354703,,-0.47328474220446276,0.5712879574058171
POLAND,POL,0.8506485793864682,-0.10627048379276649,1.4868271291296078,-0.14055806922328687,0.9855892162320218,0.40972070728398713,0.94609436932711,-0.29279912309984635,0.44125536412483923,-1.2811041902849127,-0.6069280110133731,-0.6332692002593204,-0.46440159085961547,-0.24957367755191434,0.13650404827868687,-0.11329544245224597,-0.5114922516883135,-0.7647110225190559,-0.0743891081688807,-0.4531963355750471,0.6118627623360019,-0.7096336746993515,-0.44968147464197683,-0.732251843453124,-0.05766014609635924,-0.976098051207209,-0.01192534254175068,-1.35537130320388,0.2473156860041217,-1.4008109072095105,-0.6370899554019225,-1.2448083936203125,-0.41379815850602253,-0.678107610648024,1.279779154154691,0.9599272841617972,0.9758537233413336,0.704472707887612,0.2814015768287736,0.0960913218480184,-0.5646113448665664,1.1784663289443533,0.66494759871232,0.6411696559775107,0.789843497188047,-0.6309213290250992,0.8484636076062979,0.2510768359401243,0.7662910394922859,1.0345265901641922,0.3517187998960437,0.04337344696564959,Male,-0.8860693667933252,0.8814811020516397,Male,0.4234203440988922,-1.6694935612342177
PORTUGAL,PRT,-1.144273469733066,-1.7063430510876314,-0.8366979456456834,0.5973717941989718,-1.5285296795159364,-0.31738928029040825,0.28312675777003043,-0.4812331446788792,-0.21768597963491887,0.13900544000158824,0.4052528725575133,-1.4042056179663198,-0.3326119502102651,-0.12044696796609541,0.13650404827868687,0.6898479299950725,0.027423834448610903,-1.0766217295125196,0.7587689033225846,-0.4204351546901039,-0.7206383645290715,-1.1333959638563091,-0.24576421981718327,-0.4193418987217015,0.07913204638891637,1.1459152535020654,1.5741452155110953,0.8851404429086566,-0.6595084960109913,1.3900715806568735,0.40655036157284097,0.12278491512004173,-0.13247495002530926,0.3217404195202324,-0.10659095588069675,-0.10319705083280992,1.3289264272638261,0.4265074849423955,-0.05628031536575472,0.0960913218480184,-1.2093940891552735,-0.9567536702933485,1.1654457912914857,-0.909295148477197,0.27419437467149815,1.1775950028391315,1.25995865979411,-0.4558657635784387,0.30081673037920287,-0.9553316841200149,-1.9733237088595956,0.49441029811645115,Male,-0.6039752465959064,-1.280173756512859,,0.3628209883784833,0.3656123590765385
RUSSIA,RUS,-0.600203819973193,-0.10627048379276649,-0.2758470655275097,-2.2489291075725975,1.1179112633766513,-1.0444992678648035,-0.06414199114082077,1.2550517684422091,-1.1237303273045887,-1.5177891286659964,-1.8854722849976508,-1.9438611103612196,-0.9171132599454456,-0.9012594917803171,0.2511674488327839,0.1975987662370387,-0.35298752047157095,-0.12177241922000356,-0.5603979482055688,0.2511690534512309,-0.3399237568533362,-1.557158253013267,-1.0468677209145867,-0.22563574245939458,-1.1700119133518516,0.5564671133050445,-0.01192534254175068,0.13830319420447768,1.5663326780261042,-1.6545274970155455,1.2762506257184771,0.4646832423051303,-1.5390909924288754,1.3215884496884889,1.5397235497863262,1.6141576441584786,1.5937309552056953,1.1677480794629729,1.106846202193176,-0.0653420988566526,-0.027292391292643964,0.2887913292619776,0.06434976761732124,0.885979888259833,-1.1868114724587235,0.7058081336571582,1.5891547015443594,1.7533298599170706,0.03483141088601288,-0.9553316841200149,-0.8883038714402972,-1.3563960910885609,Male,-0.8860693667933252,-1.3204236279209607,Male,-1.4596485243982482,0.668713240824949
